pmid,processed_title,processed_abstract
28550808,the association between height and hypertension in indonesia,there is growing interest in the influence of earlylife condition on the development of disease among disease in adulthood hypertension is particularly important for the developing world because considerably more people there are and will be afflicted with the disease than in the developed world and hypertensive there are often unaware of their disease status we employed height a a proxy for the influence of earlylife condition and estimated the relation between height and hypertension status in indonesia we analysed 9597 men and 10143 woman aged 2570 we employed a linear probability model to relate height to hypertension status by sex and age when we controlled for an array of covariates a 10cm increase in height wa related to an approximately 7 point reduction in the likelihood of being hypertensive for both men and woman this is about a quarter of the prevalence of hypertension in indonesia this relation wa linear and stronger among older individual in addition the pre and postpubertal environment measured by leg and trunk length respectively contributed similarly to hypertension further evidence suggests that woman are more likely to be hypertensive at older age because they are on average shorter than men
36293846,districtlevel inequality in hypertension among adult in indonesia a crosssectional analysis by sex and age group,background an estimated 128 billion adult 3079 year old had hypertension globally in 2021 of which twothirds lived in low and middleincome country lmics previous study on geographic and socioeconomic inequality in hypertension among adult have limitation a most study used individuallevel data while evidence from localitylevel data is also crucial for policymaking b study from lmics are limited thus our study examines geographic and socioeconomic inequality in hypertension among adult across district in indonesia method we combined geospatial and quantitative analysis to assess the inequality in hypertension across 514 district in indonesia hypertension data were obtained from the indonesian basic health survey riskesdas 2018 socioeconomic data were obtained from the world bank six dependent variable included hypertension prevalence among all adult 18 year male adult female adult young adult 1824 year adult 2559 year and older adult 60 year result we also found significant geographic and socioeconomic inequality in hypertension among adult across 514 district all hypertension indicator were higher in the most developed region than in the least developed region district in the java region had up to 50 higher prevalence of hypertension among all adult male female young adult adult and older adult notably district in the kalimantan region had the highest prevalence of hypertension even compared to those in java moreover income level wa positively associated with hypertension the wealthiest district had higher hypertension than the poorest district by up to 30 but only among male and older adult were statistically significant conclusion there were significant inequality in hypertension among adult across 514 district in the country policy to reduce such inequality may need to prioritize more affluent urban area and rural area with a higher burden
38777393,effectiveness of communitybased diabetes and hypertension prevention and management programme in indonesia and viet nam a quasiexperimental study,introduction noncommunicable disease ncds have surpassed infectious disease a the leading global cause of death with the southeast asian region experiencing a significant rise in ncd prevalence over the past decade despite the escalating burden screening for ncds remains at very low level resulting in undetected case premature mortality and high public healthcare cost we investigate whether communitybased ncd prevention and management programme are an effective solution method in indonesia we compare participant in the communitybased ncd screening and management programme po pembinaan terpadupenyakit tidak menular with matched nonparticipant with respect to their uptake of screening activity healthrelated behaviour and knowledge and metabolic risk factor we use statistical matching to redress a possible selection bias n1669 in viet nam we compare member of intergenerational selfhelp club which were offered similar ncd health service with member of other community group where such service were not offered we can rely on two wave of data and use a doubledifference approach to redress a possible selection bias and to measure the impact of participation n1710 we discus strength and weakness of the two approach in indonesia and viet nam result in indonesia participant have significantly higher uptake of screening for hypertension and diabetes 13 from a control mean of 88 95 ci 9 to 17 93 from a control mean of 48 95 ci 79 to 108 in both country participant show a higher knowledge about risk factor symptom and complication of ncds indonesia 029 sd 013045 viet nam 017 sd 003030 yet the improved knowledge is only partly reflected in improved health behaviour viet nam fruit consumption 033 sd 015051 vegetable consumption 027 sd 004050 body mass index bmi viet nam bmi 007 sd 013 to 000 or metabolic risk factor indonesia systolic blood pressure 013 sd 026 to 000 conclusion communitybased ncd programme are well suited to increase screening and to transmit health knowledge due to their extensive outreach within the community they can serve a a valuable complement to the screening service provided at the primary healthcare level yet limited coverage insufficient resource and a high staff turnover remain a problem trial registration number nct05239572
39280268,enhancing adolescent hypertension prevention in indonesia through interactive multimedia model development and validation,adolescent hypertension is emerging a a significant health challenge peerled intervention utilizing engaging multimedia platform have demonstrated the potential to enhance prevention behavior among adolescent however there remains a gap in the literature comparing the effectiveness of multimedia intervention with traditional lecturebased approach in adolescent hypertension prevention in indonesia the aim of this study wa to compare the traditional lecturebased approach and interactive multimedia intervention emodule animated video and infographics on adolescent knowledge attitude and practice regarding adolescent hypertension prevention a quasiexperimental study with pretest and posttest control group study wa conducted from june to december 2023 in two senior high school in district of pedurungan and kedungmundu semarang central java indonesia to prepare the multimedia model the analysis design development implementation and evaluation addie framework and mapping intervention approach were employed to ensure effective decisionmaking at each step a total of 100 high school student were involved with 50 assigned to the intervention group and 50 to the control group the intervention group received a multimedia model from the peer educator while the control group received a traditional powerpointbased presentation from the community healthcare worker the hypertension prevention knowledge attitude and practice were assessed using validated questionnaire with 20 15 and 15 item respectively this study found that after model implementation significant improvement were observed in student knowledge attitude and practice regarding hypertension prevention all had p0001 specifically knowledge score increased by 478 point attitude score by 1064 point and practice score by 29 point this study highlight that multimedia intervention could significantly improve hypertension prevention behavior among adolescent by enhancing their knowledge attitude and practice through engaging and interactive multimedia material
31465584,socioeconomic inequality in the utilisation of hypertension and type 2 diabetes management service in indonesia,objective to describe socioeconomic inequality in the utilisation of hypertension and type 2 diabetes t2d management service in the indonesian population and to determine whether education level and geographical location contribute to inequality method crosssectional study using data from the 2014 indonesia family life survey n 30 762 for hypertension n 6758 for t2d socioeconomic status wa measured by household consumption the prevalence of hypertension and t2d wa determined using internationally standardised clinical measurement while disease management wa defined by participation in screening and current use of medication the relative index of inequality rii wa used to estimate inequality adjusted to education level and geographical location result for all household consumption quintiles we observed low rate of screening participation for t2d and low medication use in both hypertension and t2d we found socioeconomic inequality in screening participation for hypertension rii 268 95 ci 242296 and t2d rii 730 95 ci 548972 and also for medication use in hypertension rii 309 95 ci 228418 and t2d rii 281 95 ci 109727 education level contributed to socioeconomic inequality in screening utilisation for both hypertension and t2d geographical location contributed to inequality in screening utilisation and medication use for t2d socioeconomic inequality in medication use for hypertension and t2d were larger among men than woman conclusion large socioeconomic inequality were found in the utilisation of hypertension and t2d management service in indonesia improving affordability availability and approachability of service is crucial to reduce such inequality
34602880,difference risk factor for hypertension among elderly woman in rural and urban indonesia,introduction hypertension is a major risk factor for cardiovascular disease a high prevalence of hypertension is found in elderly woman rural area have different characteristic from urban area therefore it is necessary to identify risk factor for hypertension in rural and urban elderly woman for optimal therapy management method this crosssectional study wa conducted in rural banyuwangi district and urban surabaya city area east java indonesia the study wa carried out in 20152016 in woman aged 45 year residing in an area for 10 year and willing to collect urine for 24 hour respondent consisted of 54 older adult from rural area and 51 older adult from urban area who actively participate in the integrated healthcare center for the elderly the independent ttest and multivariate logistic regression were used to analyze the data result the prevalence of hypertension in the rural area wa 278 and in the urban area wa 3725 the risk factor for hypertension in the urban area were urine sodium level aor102 95 ci1001104 pvalue0043 urine potassium level aor088 95 ci0780999 pvalue0022 and body mass index aor126 95 ci106149 pvalue0008 meanwhile the factor associated with hypertension in the rural area wa age aor108 95 ci1003116 pvalue0042 conclusion the prevalence of hypertension in the urban area wa higher than in the rural area there were difference in risk factor for hypertension that occurred both in rural and urban area however risk factor in both area are equally important to overcome collaboration from multiple stakeholder and sector is urgently needed such a the public health center integrated assistance post for noncommunicable disease and the local health office
33256570,the effect of educational program on hypertension management toward knowledge and attitude among uncontrolled hypertension patient in rural area of indonesia,background hypertension is a major public health threat affecting adult worldwide the low hypertension management knowledge cause uncontrolled high blood pressure and it a complication it requires patient with uncontrolled hypertension to increase adherence to either pharmacological therapy or nonpharmacological therapy aimed at achieving normal blood pressure purpose the purpose of this study wa to examine the effectiveness of a shortterm educational program on hypertension management related knowledge and attitude among uncontrolled hypertension patient in malang indonesia method the research design used a quasiexperimental study with the design of one group preposttest the participant were 41 uncontrolled hypertension patient chosen by purposive sampling at the ciptomulyo public health center the questionnaire were used to collect the data the hypertension knowledgelevel scale hkls questionnaire wa used to determine the knowledge of uncontrolled hypertension patient kap questionnaire wa used to determine the attitude of the participant the data were analyzed statistically using the wilcoxon signed rank test result the majority of respondent were aged 5565 54 female 83 housewife 76 graduated elementary school 71 and long suffered from hypertension 1 year 68 the result showed that the provision of the educational program increase knowledge p 0000 and attitude p 0008 of patient on the management of hypertension conclusion health education could improve hypertension management knowledge and attitude among uncontrolled hypertension in the rural area furthermore health provider should consider giving the education among uncontrolled hypertension
36051316,modifiable and nonmodifiable factor associated with low awareness of hypertension treatment in indonesia a crosssectional populationbased national survey,introduction low awareness about hypertension treatment is recognized a a significant cause of treatment failure therefore identifying it underlying factor is essential for developing effective intervention strategy this study aim to identify the modifiable and nonmodifiable factor associated with low awareness about hypertension treatment method this national crosssectional populationbased survey used publicly available data from the indonesian family life survey ifls5 for 2014 among respondent with hypertension aged 15 year depression and insomnia a modifiable factor were assessed using the centre for epidemiologic studiesdepression cesd and the patientrecorded outcome measurement information system promis questionnaire respectively nonmodifiable factor such a sociodemographic information were obtained from selfreported data logistic regression analysis wa used to assess the association between these factor and low awareness about hypertension treatment odds ratio or with 95 confidence interval ci were reported result the study recruited 7920 respondent the majority of whom were female 538 and aged 60 year 711 the prevalence of low awareness of hypertension treatment wa 871 518 in woman and 482 in men being an elderly or 160 95ci 136188 being irregularly blood pressure control or 440 95 ci 378513 having depressive symptom or 135 95 ci 112162 having insomnia or 131 95 ci 111153 and having low satisfaction with health care or 128 95 ci 108151 were associated with low awareness of hypertension treatment surprisingly respondent with strong religiosity or 162 95 ci 125209 were more likely to display low awareness of hypertension treatment conclusion the main factor associated with low awareness of hypertension treatment are modifiable thus health care professional should integrate more patientspecific factor when designing tailored intervention
33538081,hypertension and chronic kidney disease in asian population,the country of asia are home to multiple ethnicity there are ethnic difference in diet culture and attitude towards health screening access to care and treatment of chronic disease chronic kidney disease ckd and endstage kidney disease eskd have rising incidence and prevalence due to increased affliction with noncommunicable disease of diabetes and hypertension to prevent the expensive complication of eskd one of the most important risk factor to control is hypertension in patient with ckd we performed a narrative review on the prevalence of ckd in patient with hypertension the prevalence and control of hypertension in patient with ckd and the dietary sodium intake in ckd population
31935256,the implementation of communitybased diabetes and hypertension management care program in indonesia,since 2010 indonesian government ha initiated a chronic disease management program prolanis program pengendalian penyakit kronis targeted for diabetes and hypertension the program is continued at the commencement of universal health coverage uhc in 2014 this study aimed to report the utilization and cost of the implementation of prolanis in indonesia from 2014 to 2016 or two year since the commencement of indonesian universal health coverage secondary data analysis wa performed using publicly available data and data obtained from the national health insurance agency bpjs while data on disease prevalence were collected from basic national health survey there wa an increase trend of prolanis participant from around 11000 participant in 2014 to more than 250000 in 2016 more than 70 of participant were adult living in java however the acceptance rate wa very low in other area across different activity in prolanis physical activity wa the most participated one in comparison to other region region in java were the most active area the total expenditure for prolanis program in 2016 increased almost triple from the annual cost in 2014 however the cost per person wa actually decreased more than 50 within two year of uhc implementation there were increase covered participant and total cost but cost per individual wa decreased and there wa significant difference in of cost between java and outside java further study and routine monitoringevaluation process by health authority is needed to assess whether the cost difference would affect the service quality
34207848,gender difference in prevalence and risk factor for hypertension among adult population a crosssectional study in indonesia,although hypertension is among the main public health concern in indonesia due to the scarcity of data few study have investigated the factor associated with hypertension in men and woman this study aimed to examine the prevalence of and factor associated with hypertension among adult men and woman in indonesia the 2018 survey of the sleman health demographic and surveillance system wa utilized consisting of 4328 individual aged 18 year multivariable logistic regression analysis wa performed to determine the sociodemographic and health behavior factor of hypertension overall the prevalence of hypertension wa 40 42 in men and 38 in woman age abdominal obesity and chronic noncommunicable disease were the common predictor of hypertension in men and woman p 005 the odds ratio of hypertension among men with low education wa lower than among those with high education or 052 95 ci 029094 for woman being in the poorest socioeconomic condition increased the risk of hypertension by 167 time compared to the richest 95 ci 121232 gender difference in the prevalence of and factor associated with hypertension were observed among adult population in sleman district yogyakarta indonesia therefore a genderbased approach in the health prevention strategy to control hypertension for men and woman is needed
31131972,hypertension and dementia a comprehensive review from the hope asia network,approximately 365 million people in asia were classified a elderly in 2017 this number is rising and expected to reach approximately 520 million by 2030 the risk of hypertension and cognitive impairmentdementia increase with age recent data also show that the prevalence of hypertension and agerelated dementia are rising in asian country moreover not many people in asian country are aware of the relationship between hypertension and cognitive impairmentdementia furthermore hypertension control is poorer in asia than in developed country hypertension is known to be a major risk factor for damage to target organ including the brain decreased cognitive function can indicate the presence of target organ damage in the brain twentyfourhour blood pressure profile and blood pressure variability have been associated with cognitive impairment andor silent cerebral disease such a silent cerebral infarction or white matter lesion which are predisposing condition for cognitive impairment and dementia hypertension that occurs in midlife also affect the incidence of cognitive impairment in later life managing and controlling blood pressure could preserve cognitive function such a by reducing the risk of vascular dementia and by reducing the global burden of stroke which also affect cognitive function
33370385,participation in communitybased health care intervention cbhis and it association with hypertension awareness control and treatment in indonesia,background little attention ha been paid to whether cbhis improve awareness treatment and control of hypertension in the context of low and middle income country lmics this study therefore aim to examine participation in cbhis for noncommunicable disease ncds and it association with awareness treatment and control of hypertension among indonesian method this study used data from the 2014 indonesia family life survey ifls drawn from 30351 respondent aged 18 year and older participation in cbhis wa measured by respondent participation in cbhis for ncds posbindu ptm and posbindu lansia during the 12 month prior to the survey logistic regression were used to identify the relationship between participation in cbhis for ncds and awareness treatment and control of blood pressure among respondent with hypertension result the ageadjusted prevalence of hypertension wa 312 and 292 in urban and rural area respectively the overall ageadjusted prevalence wa 302 approximately 418 of respondent with hypertension were aware of their condition and only 66 of respondent were receiving treatment participation in cbhis for ncds wa associated with 50 higher odds of being aware and 118 higher odds of receiving treatment among adult with hypertension there wa no significant association between participation in cbhis for ncds and controlled hypertension conclusion our data emphasise the importance of cbhis for ncds to improve the awareness and treatment of hypertension in the indonesian population
33527663,disaster hypertension and cardiovascular event in disaster and covid19 pandemic,the incidence of large disaster ha been increasing worldwide this ha led to a growing interest in disaster medicine in this review we report current evidence related to disaster and coronavirus disease2019 covid19 pandemic such a cardiovascular disease during disaster management of disaster hypertension and cardiovascular disease associated with covid19 this review summarizes the time course and mechanism of disasterrelated disease it also discusses the use of information and communication technology ict a a cardiovascular risk management strategy to prevent cardiovascular event during the 2011 great east japan earthquake we used the disaster cardiovascular prevention system that wa employed for blood pressure bp monitoring and risk management using ict we introduced an ictbased bp monitoring device at evacuation center and shared patient bp value in the database to support bp management by remote monitoring which led to improved bp control effective use of telemedicine using ict is important for risk management of cardiovascular disease during disaster and pandemic in the future
32264836,the congenital heart disease in adult and pulmonary hypertension cohardph registry a descriptive study from singlecenter hospital registry of adult congenital heart disease and pulmonary hypertension in indonesia,background the congenital heart disease in adult and pulmonary hypertension cohardph registry is the first registry for congenital heart disease chd and chdrelated pulmonary hypertension ph in adult in indonesia the study aim to describe the demographic clinical presentation and hemodynamics data of adult chd and chdrelated ph in indonesia method the cohardph registry is a hospitalbased singlecenter and prospective registry which includes adult patient with chd and chdrelated ph the patient were enrolled consecutively for this study we evaluated the registry patient from july 2012 until july 2019 the enrolled patient underwent clinical examination electrocardiography chest xray 6min walking test laboratory measurement and transthoracic and transesophageal echocardiography right heart catheterization wa performed to measure hemodynamics and confirm the diagnosis of pulmonary artery hypertension pah result we registered 1012 patient during the study the majority were young adult female the majority of chd wa secundum asd 734 the main symptom wa dyspnea on effort the majority of patient 771 had already developed sign of ph assessed by echocardiography the eisenmenger syndrome wa encountered in 187 of the patient based on the right heart catheterization 669 of patient had developed pah patient with pah were significantly older had lower peripheral oxygen saturation had lower 6min walking distance and higher ntprobnp the ntprobnp level independently predicted the development of pah among chd conclusion the cohardph registry is the first indonesian adultchd and chdrelated ph registry the demographic clinical presentation and hemodynamics dataof this registry reflect the situation in developing country which need to be compared with similar registry from developed country
